product_id,cat,price
1e9e8ef04dbcff4541ed26657ea517e5,perfumaria,10.91
3aa071139cb16b67ca9e5dea641aaa2f,artes,248
96bd76ec8810374ed1b65e291975717f,esporte_lazer,79.8
cef67bcfe19066a932b7673e239eb23d,bebes,112.3
9dc1a7de274444849c219cff195d0b71,utilidades_domesticas,37.9
41d3672d4792049fa1779bb35283ed13,instrumentos_musicais,45.87
732bd381ad09e530fe0a5f457d81becb,cool_stuff,958
732bd381ad09e530fe0a5f457d81becb,cool_stuff,968
2548af3e6e77a690cf3eb6368e9ab61e,moveis_decoracao,9.99
2548af3e6e77a690cf3eb6368e9ab61e,moveis_decoracao,9.99
2548af3e6e77a690cf3eb6368e9ab61e,moveis_decoracao,9.99
2548af3e6e77a690cf3eb6368e9ab61e,moveis_decoracao,9.99
2548af3e6e77a690cf3eb6368e9ab61e,moveis_decoracao,9.99
2548af3e6e77a690cf3eb6368e9ab61e,moveis_decoracao,9.99
2548af3e6e77a690cf3eb6368e9ab61e,moveis_decoracao,9.99
2548af3e6e77a690cf3eb6368e9ab61e,moveis_decoracao,9.99
2548af3e6e77a690cf3eb6368e9ab61e,moveis_decoracao,9.99
37cc742be07708b53a98702e77a21a02,eletrodomesticos,10.4
8c92109888e8cdf9d66dc7e463025574,brinquedos,82.9
14aa47b7fe5c25522b47b4b29c98dcb9,cama_mesa_banho,71.99
14aa47b7fe5c25522b47b4b29c98dcb9,cama_mesa_banho,71.99
14aa47b7fe5c25522b47b4b29c98dcb9,cama_mesa_banho,71.99
14aa47b7fe5c25522b47b4b29c98dcb9,cama_mesa_banho,71.99
03b63c5fc16691530586ae020c345514,bebes,239
03b63c5fc16691530586ae020c345514,bebes,239
cf55509ea8edaaac1d28fdb16e48fc22,instrumentos_musicais,207.25
7bb6f29c2be57716194f96496660c7c2,moveis_decoracao,59.9
eb31436580a610f202c859463d8c7415,construcao_ferramentas_seguranca,226.18
3bb7f144022e6732727d8d838a7b13b3,esporte_lazer,26.7
6a2fb4dd53d2cdb88e0432f1284a004c,perfumaria,16.9
6a2fb4dd53d2cdb88e0432f1284a004c,perfumaria,16.9
a1b71017a84f92fd8da4aeefba108a24,informatica_acessorios,69.9
a0736b92e52f6cead290e30b578413b6,moveis_decoracao,49.7
a0736b92e52f6cead290e30b578413b6,moveis_decoracao,49.7
f53103a77d9cf245e579ea37e5ec51f0,cama_mesa_banho,41.99
f53103a77d9cf245e579ea37e5ec51f0,cama_mesa_banho,41.99
1c1890ba1779090cd54008a3c3302921,moveis_decoracao,111.9
1c1890ba1779090cd54008a3c3302921,moveis_decoracao,111.9
1c1890ba1779090cd54008a3c3302921,moveis_decoracao,111.9
518ef5de2c2b3a255e326a4594ba15d9,cama_mesa_banho,145
e3e020af31d4d89d2602272b315c3f6e,beleza_saude,29.9
8b41fbc2b984a12030090112324d1bc4,bebes,48.9
d03bd02af9fff4b98f1c972315e5e9ef,moveis_decoracao,79.9
d03bd02af9fff4b98f1c972315e5e9ef,moveis_decoracao,79.9
d03bd02af9fff4b98f1c972315e5e9ef,moveis_decoracao,79.9
d03bd02af9fff4b98f1c972315e5e9ef,moveis_decoracao,79.9
d03bd02af9fff4b98f1c972315e5e9ef,moveis_decoracao,79.9
d03bd02af9fff4b98f1c972315e5e9ef,moveis_decoracao,79.9
d03bd02af9fff4b98f1c972315e5e9ef,moveis_decoracao,79.9
d03bd02af9fff4b98f1c972315e5e9ef,moveis_decoracao,69.9
d03bd02af9fff4b98f1c972315e5e9ef,moveis_decoracao,79.9
8ba4f2a4ae695d26e5626c1bf710975e,utilidades_domesticas,69.9
f6574524b07d5bb753bab6f35abe2d06,malas_acessorios,349.9
c78b767da00efb70c1bcccab87c28cd5,informatica_acessorios,38.9
c78b767da00efb70c1bcccab87c28cd5,informatica_acessorios,38.9
c78b767da00efb70c1bcccab87c28cd5,informatica_acessorios,38.9
c78b767da00efb70c1bcccab87c28cd5,informatica_acessorios,38.9
c78b767da00efb70c1bcccab87c28cd5,informatica_acessorios,26.9
a0253d43394dd4da9a5d7b1f546f1a32,informatica_acessorios,208
051b9ff13dd55c0a6655a15ff296f80d,esporte_lazer,285
47859fca9dd7485cbd93c3e8993bb74f,cama_mesa_banho,41.99
e1d1d22e9f8122a4ec1533b032c12562,ferramentas_jardim,199
20e37962088a4061d3578def47a8648b,moveis_decoracao,64.9
1eba879220bd0981a0e2fbab499ed4e1,moveis_escritorio,89.99
1eba879220bd0981a0e2fbab499ed4e1,moveis_escritorio,89.99
